# x, y, omega
# 
405.023228 100.063092 -0.000249
410.159872 100.258224 -0.000820
415.250813 100.582316 -0.001308
420.476090 101.050937 -0.001772
425.662089 101.653190 -0.002226
430.615718 103.393754 -0.003188
435.674302 104.767459 -0.003917
441.088686 106.103146 -0.004617
445.937050 107.343488 -0.005235
450.898126 108.701555 -0.005871
456.705512 110.432863 -0.006624
462.270728 112.252388 -0.007356
467.533912 114.395071 -0.008198
472.869743 117.015026 -0.009142
478.089811 119.610142 -0.009967
483.893726 122.640132 -0.010866
488.639768 125.252690 -0.011596
493.728747 128.206487 -0.012378
499.163234 131.552931 -0.013218
504.941774 135.350071 -0.014120
510.387519 139.488511 -0.015088
515.766861 144.180070 -0.016118
519.771857 147.744624 -0.016836
523.902086 151.591198 -0.017579
528.144975 155.742430 -0.018349
532.485449 160.221922 -0.019146
536.905543 165.054042 -0.019970
541.384014 170.263666 -0.020822
545.112906 175.552532 -0.021702
549.217721 181.590779 -0.022604
553.294604 188.035408 -0.023523
557.307189 194.904335 -0.024457
561.215135 202.213423 -0.025406
564.974008 209.975747 -0.026366
568.535275 218.200770 -0.027335
570.815646 226.393099 -0.028307
573.452690 235.533676 -0.029272
575.726273 245.079825 -0.030224
576.709059 249.999391 -0.030693
577.579661 255.012705 -0.031156
578.330957 260.116211 -0.031614
578.955883 265.305844 -0.032064
578.761203 275.252545 -0.032938
578.797244 280.678410 -0.033357
578.679285 286.154647 -0.033764
578.401974 291.673897 -0.034157
577.960379 297.228321 -0.034534
577.350034 302.809620 -0.034896
576.566993 308.409062 -0.035240
575.607878 314.017511 -0.035567
573.634908 318.749653 -0.035874
572.159453 324.381616 -0.036160
570.498952 329.979106 -0.036422
568.653605 335.531234 -0.036660
566.624445 341.027028 -0.036873
564.413354 346.455511 -0.037060
562.023079 351.805769 -0.037220
559.457229 357.067025 -0.037353
556.720274 362.228721 -0.037457
553.094128 366.229646 -0.037532
549.878109 371.207697 -0.037576
546.505703 376.042295 -0.037588
542.985630 380.724069 -0.037567
539.327354 385.244338 -0.037513
535.541021 389.595177 -0.037426
531.637388 393.769472 -0.037306
527.627736 397.760973 -0.037153
522.917285 400.396004 -0.036966
518.574589 404.070135 -0.036746
514.157109 407.534253 -0.036492
509.678444 410.785592 -0.036203
505.152276 413.822472 -0.035881
500.592264 416.644281 -0.035526
496.011943 419.251458 -0.035140
491.424622 421.645455 -0.034723
486.843299 423.828696 -0.034277
481.844313 424.556765 -0.033802
477.144030 426.405429 -0.033298
467.866276 429.474306 -0.032209
458.828882 431.746761 -0.031019
450.113325 433.281587 -0.029741
441.788155 434.145275 -0.028389
433.454829 433.230073 -0.026975
425.676629 433.108694 -0.025506
418.401771 432.491798 -0.023995
411.653820 431.453782 -0.022457
405.444868 430.065959 -0.020903
399.776923 428.395071 -0.019346
394.643411 426.502227 -0.017797
389.883734 422.105463 -0.016265
383.306482 419.058487 -0.014009
377.749814 415.825041 -0.011823
373.132155 412.520748 -0.009729
369.363088 409.232858 -0.007743
365.496242 404.979094 -0.005286
362.221251 399.989765 -0.002544
360.067257 394.569214 0.000254
359.282403 389.004185 0.002864
359.785128 383.475305 0.005077
361.018874 378.604585 0.006608
362.598829 373.680373 0.007711
364.119454 368.153653 0.008110
366.688040 363.275528 0.008466
369.779634 358.677359 0.008530
372.742649 354.049732 0.008349
374.945058 349.334251 0.008037
376.375418 344.279407 0.007858
378.672385 339.611955 0.007547
380.948489 335.116693 0.007116
382.805795 329.929599 0.006602
383.952556 324.757052 0.006126
